Home,Away,xG,teams
Arsenal,AstonVilla,2,Arsenal AstonVilla
Arsenal,AstonVilla,2.7,Arsenal AstonVilla
Arsenal,Bournemouth,0.8,Arsenal Bournemouth
Arsenal,Bournemouth,1,Arsenal Bournemouth
Arsenal,Brentford,-0.4,Arsenal Brentford
Arsenal,Brentford,1,Arsenal Brentford
Arsenal,Brighton,-0.8,Arsenal Brighton
Arsenal,Brighton,1.7,Arsenal Brighton
Arsenal,Chelsea,0.9,Arsenal Chelsea
Arsenal,Chelsea,1.8,Arsenal Chelsea
Arsenal,CrystalPalace,0.8,Arsenal CrystalPalace
Arsenal,CrystalPalace,-0.2,Arsenal CrystalPalace
Arsenal,Everton,1.2,Arsenal Everton
Arsenal,Everton,-0.8,Arsenal Everton
Arsenal,Fulham,1.8,Arsenal Fulham
Arsenal,Fulham,1.5,Arsenal Fulham
Arsenal,LeedsUnited,3.1,Arsenal LeedsUnited
Arsenal,LeedsUnited,-1.3,Arsenal LeedsUnited
Arsenal,Leicester City,2.2,Arsenal Leicester City
Arsenal,Leicester City,0.7,Arsenal Leicester City
Arsenal,Liverpool,1.6,Arsenal Liverpool
Arsenal,Liverpool,-2.5,Arsenal Liverpool
Arsenal,ManchesterCity,-0.2,Arsenal ManchesterCity
Arsenal,ManchesterCity,-2,Arsenal ManchesterCity
Arsenal,ManchesterUtd,2.7,Arsenal ManchesterUtd
Arsenal,ManchesterUtd,-0.2,Arsenal ManchesterUtd
Arsenal,NewcastleUtd,0.1,Arsenal NewcastleUtd
Arsenal,NewcastleUtd,0,Arsenal NewcastleUtd
Arsenal,Nott'hamForest,1.9,Arsenal Nott'hamForest
Arsenal,Nott'hamForest,0,Arsenal Nott'hamForest
Arsenal,Southampton,1.2,Arsenal Southampton
Arsenal,Southampton,0.3,Arsenal Southampton
Arsenal,Tottenham,0.8,Arsenal Tottenham
Arsenal,Tottenham,0.2,Arsenal Tottenham
Arsenal,WestHam,1.1,Arsenal WestHam
Arsenal,WestHam,0.9,Arsenal WestHam
Arsenal,Wolves,2.3,Arsenal Wolves
Arsenal,Wolves,1.4,Arsenal Wolves
AstonVilla,Bournemouth,2.2,AstonVilla Bournemouth
AstonVilla,Bournemouth,0.1,AstonVilla Bournemouth
AstonVilla,Brentford,1.9,AstonVilla Brentford
AstonVilla,Brentford,-1.2,AstonVilla Brentford
AstonVilla,Brighton,1.4,AstonVilla Brighton
AstonVilla,Brighton,0.9,AstonVilla Brighton
AstonVilla,Chelsea,0.9,AstonVilla Chelsea
AstonVilla,Chelsea,-1.2,AstonVilla Chelsea
AstonVilla,CrystalPalace,1,AstonVilla CrystalPalace
AstonVilla,CrystalPalace,-1.7,AstonVilla CrystalPalace
AstonVilla,Everton,0.7,AstonVilla Everton
AstonVilla,Everton,0.3,AstonVilla Everton
AstonVilla,Fulham,0.9,AstonVilla Fulham
AstonVilla,Fulham,-0.9,AstonVilla Fulham
AstonVilla,LeedsUnited,-1.2,AstonVilla LeedsUnited
AstonVilla,LeedsUnited,1.8,AstonVilla LeedsUnited
AstonVilla,Leicester City,-0.9,AstonVilla Leicester City
AstonVilla,Leicester City,0.5,AstonVilla Leicester City
AstonVilla,Liverpool,-1.3,AstonVilla Liverpool
AstonVilla,Liverpool,0.6,AstonVilla Liverpool
AstonVilla,ManchesterCity,-1.8,AstonVilla ManchesterCity
AstonVilla,ManchesterCity,-3,AstonVilla ManchesterCity
AstonVilla,ManchesterUtd,0.1,AstonVilla ManchesterUtd
AstonVilla,ManchesterUtd,-0.6,AstonVilla ManchesterUtd
AstonVilla,NewcastleUtd,1.4,AstonVilla NewcastleUtd
AstonVilla,NewcastleUtd,-3,AstonVilla NewcastleUtd
AstonVilla,Nott'hamForest,1.1,AstonVilla Nott'hamForest
AstonVilla,Nott'hamForest,0.4,AstonVilla Nott'hamForest
AstonVilla,Southampton,1.2,AstonVilla Southampton
AstonVilla,Southampton,0.8,AstonVilla Southampton
AstonVilla,Tottenham,-0.2,AstonVilla Tottenham
AstonVilla,Tottenham,0.3,AstonVilla Tottenham
AstonVilla,WestHam,-0.1,AstonVilla WestHam
AstonVilla,WestHam,-0.6,AstonVilla WestHam
AstonVilla,Wolves,0.9,AstonVilla Wolves
AstonVilla,Wolves,0.7,AstonVilla Wolves
Bournemouth,Brentford,-0.5,Bournemouth Brentford
Bournemouth,Brentford,-0.8,Bournemouth Brentford
Bournemouth,Brighton,-1,Bournemouth Brighton
Bournemouth,Brighton,-1.1,Bournemouth Brighton
Bournemouth,Chelsea,-0.1,Bournemouth Chelsea
Bournemouth,Chelsea,-1.3,Bournemouth Chelsea
Bournemouth,CrystalPalace,-1,Bournemouth CrystalPalace
Bournemouth,CrystalPalace,-1.2,Bournemouth CrystalPalace
Bournemouth,Everton,1.6,Bournemouth Everton
Bournemouth,Everton,-0.5,Bournemouth Everton
Bournemouth,Fulham,1.8,Bournemouth Fulham
Bournemouth,Fulham,-1.1,Bournemouth Fulham
Bournemouth,LeedsUnited,0.3,Bournemouth LeedsUnited
Bournemouth,LeedsUnited,-0.7,Bournemouth LeedsUnited
Bournemouth,Leicester City,0.1,Bournemouth Leicester City
Bournemouth,Leicester City,1.3,Bournemouth Leicester City
Bournemouth,Liverpool,-0.8,Bournemouth Liverpool
